#TYPE Selected.Security2.FileSystemAccessRule2
"Folder";"Account";"AccessRights";"IsInherited"
"D:\FS\PL\acc\ACC_EPI\GROUP_AZB\OTHER_AZB";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_AZB\OTHER_AZB";"WORK\Security - Wroclaw - Folder - Group AZB - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_JGO\OTHER_JGO";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_JGO\OTHER_JGO";"WORK\Security - Wroclaw - Folder - Group JGO - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_AJA_MWH";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_AJA_MWH";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_AJA_MWH";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_AJA_MWH";"WORK\Security - Warsaw - Folder - Group AJA_MWH - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_MGG";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_MGG";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_MGG";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_MGG";"WORK\Security - Warsaw - Folder - Group MGG - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_MWI";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_MWI";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_MWI";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_MWI";"WORK\Security - Warsaw - Folder - Group MWI - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_AJA_MWH\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group AJA_MWH - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EWA\GROUP_MGG\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group MGG - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\ACC IMA";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\ACC IMA";"WORK\kukurykai";"FullControl";"False"
"D:\FS\PL\acc\ACC_IMA\COMMON_IMA";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_ATO";"WORK\Security - Lublin - Folder - Group ATO - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_EKP";"WORK\Security - Lublin - Folder - Group EKP - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_GSY";"WORK\Security - VCS File Server Users";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_GSY";"WORK\Security - Lublin - Folder - Group GSY - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_IKS";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_IKS";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_IKS";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_IKS";"WORK\Security - Warsaw - Folder - Group IKS - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_JTY";"WORK\Security - Lublin - Folder - Group JTY - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_ATO\OTHER_ATO";"WORK\Security - Lublin - Folder - Group ATO - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_EKP\OTHER_EKP";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_EKP\OTHER_EKP";"WORK\Security - Lublin - Folder - Group EKP - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_GSY\OTHER_GSY";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_GSY\OTHER_GSY";"WORK\Security - Lublin - Folder - Group GSY - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_IKS\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group IKS - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_IMA\GROUP_IKS\SHELFS";"WORK\Security - Warsaw - Folder - Group IKS - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_JBC\COMMON_JBC";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
